City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
234,Barranca,PE,2022-02-07 01:53:44,-10.75,-77.7667,70.75,75,100,7.31,overcast clouds
235,Vestmannaeyjar,IS,2022-02-07 01:53:45,63.4427,-20.2734,39.09,83,100,53.42,moderate rain
236,Hofn,IS,2022-02-07 01:51:21,64.2539,-15.2082,30.2,67,100,12.12,overcast clouds
237,Broome,US,2022-02-07 01:53:46,42.2506,-75.833,23.9,72,4,1.01,clear sky
238,Port Alfred,ZA,2022-02-07 01:53:47,-33.5906,26.891,73.96,78,98,4.9,overcast clouds
239,Sisimiut,GL,2022-02-07 01:53:47,66.9395,-53.6735,3.0,92,100,12.12,overcast clouds
240,Alofi,NU,2022-02-07 01:51:32,-19.0595,-169.9187,82.29,83,100,8.05,overcast clouds
241,Padang,ID,2022-02-07 01:52:48,-0.9492,100.3543,78.85,72,100,1.05,moderate rain
242,Torbay,CA,2022-02-07 01:53:48,47.6666,-52.7314,12.58,75,40,16.11,scattered clouds
243,Goderich,CA,2022-02-07 01:53:48,43.7501,-81.7165,28.9,68,100,12.66,overcast clouds
244,Cortez,US,2022-02-07 01:53:49,37.3489,-108.5859,31.69,36,1,3.44,clear sky
245,Broken Hill,AU,2022-02-07 01:53:49,-31.95,141.4333,80.31,29,0,12.66,clear sky
246,Sao Filipe,CV,2022-02-07 01:53:50,14.8961,-24.4956,72.61,76,0,5.19,clear sky
247,Shellbrook,CA,2022-02-07 01:53:50,53.2168,-106.4011,18.63,88,53,9.33,broken clouds
248,Morgan City,US,2022-02-07 01:52:48,29.6994,-91.2068,46.4,71,0,4.61,clear sky
249,Qarchi Gak,AF,2022-02-07 01:53:51,37.04,66.7889,35.69,71,100,7.2,overcast clouds
250,Mulege,MX,2022-02-07 01:53:51,26.8833,-111.9833,58.28,46,0,5.61,clear sky
251,Hearst,CA,2022-02-07 01:53:52,49.6835,-83.6665,5.25,95,100,8.14,overcast clouds
252,Talnakh,RU,2022-02-07 01:48:52,69.4865,88.3972,-28.37,99,56,0.51,broken clouds
253,Dzhebariki-Khaya,RU,2022-02-07 01:53:52,62.2167,135.8,-24.12,92,83,0.43,broken clouds
254,Mercedes,AR,2022-02-07 01:53:53,-34.6515,-59.4307,65.84,83,15,7.74,few clouds
255,Ugra,RU,2022-02-07 01:53:53,54.7777,34.3267,29.62,94,100,9.8,overcast clouds
256,Richards Bay,ZA,2022-02-07 01:53:54,-28.783,32.0377,71.31,91,78,2.66,light rain
257,Begunitsy,RU,2022-02-07 01:53:54,59.5855,29.3176,34.29,97,100,5.97,overcast clouds
258,Hay River,CA,2022-02-07 01:53:55,60.8156,-115.7999,21.18,79,75,6.91,broken clouds
